Date,Weekday
8-28-1980,thu
8-29-1980,fri
8-30-1980,sat
8-31-1980,sun
9-1-1980,mon
9-2-1980,tue
9-3-1980,wed
9-4-1980,thu
9-5-1980,fri
9-6-1980,sat
9-7-1980,sun
9-8-1980,mon
9-9-1980,tue
9-10-1980,wed
9-11-1980,thu
9-12-1980,fri
9-13-1980,sat
9-14-1980,sun
9-15-1980,mon
9-16-1980,tue
9-17-1980,wed
9-18-1980,thu
9-19-1980,fri
9-20-1980,sat
9-21-1980,sun
9-22-1980,mon
9-23-1980,tue
9-24-1980,wed
9-25-1980,thu
9-26-1980,fri
9-27-1980,sat
9-28-1980,sun
9-29-1980,mon
9-30-1980,tue
10-1-1980,wed
10-2-1980,thu
10-3-1980,fri
10-4-1980,sat
10-5-1980,sun
10-6-1980,mon
10-7-1980,tue
10-8-1980,wed
10-9-1980,thu
10-10-1980,fri
10-11-1980,sat
10-12-1980,sun
10-13-1980,mon
10-14-1980,tue
10-15-1980,wed
10-16-1980,thu
10-17-1980,fri
10-18-1980,sat
10-19-1980,sun
10-20-1980,mon
10-21-1980,tue
10-22-1980,wed
10-23-1980,thu
10-24-1980,fri
10-25-1980,sat
10-26-1980,sun
10-27-1980,mon
10-28-1980,tue
10-29-1980,wed
10-30-1980,thu
10-31-1980,fri
11-1-1980,sat
11-2-1980,sun
11-3-1980,mon
11-4-1980,tue
11-5-1980,wed
11-6-1980,thu
11-7-1980,fri
11-8-1980,sat
11-9-1980,sun
11-10-1980,mon
11-11-1980,tue
11-12-1980,wed
11-13-1980,thu
11-14-1980,fri
11-15-1980,sat
11-16-1980,sun
11-17-1980,mon
11-18-1980,tue
11-19-1980,wed
11-20-1980,thu
11-21-1980,fri
11-22-1980,sat
11-23-1980,sun
11-24-1980,mon
11-25-1980,tue
11-26-1980,wed
11-27-1980,thu
11-28-1980,fri
11-29-1980,sat
11-30-1980,sun
12-1-1980,mon
12-2-1980,tue
12-3-1980,wed
12-4-1980,thu
12-5-1980,fri
12-6-1980,sat
12-7-1980,sun
12-8-1980,mon
12-9-1980,tue
12-10-1980,wed
12-11-1980,thu
12-12-1980,fri
12-13-1980,sat
12-14-1980,sun
12-15-1980,mon
12-16-1980,tue
12-17-1980,wed
12-18-1980,thu
12-19-1980,fri
12-20-1980,sat
12-21-1980,sun
12-22-1980,mon
12-23-1980,tue
12-24-1980,wed
12-25-1980,thu
12-26-1980,fri
12-27-1980,sat
12-28-1980,sun
12-29-1980,mon
12-30-1980,tue
12-31-1980,wed
1-1-1981,thu
1-2-1981,fri
1-3-1981,sat
1-4-1981,sun
1-5-1981,mon
1-6-1981,tue
1-7-1981,wed
1-8-1981,thu
1-9-1981,fri
1-10-1981,sat
1-11-1981,sun
1-12-1981,mon
1-13-1981,tue
1-14-1981,wed
1-15-1981,thu
1-16-1981,fri
1-17-1981,sat
1-18-1981,sun
1-19-1981,mon
1-20-1981,tue
1-21-1981,wed
1-22-1981,thu
1-23-1981,fri
1-24-1981,sat
1-25-1981,sun
1-26-1981,mon
1-27-1981,tue
1-28-1981,wed
1-29-1981,thu
1-30-1981,fri
1-31-1981,sat
2-1-1981,sun
2-2-1981,mon
2-3-1981,tue
2-4-1981,wed
2-5-1981,thu
2-6-1981,fri
2-7-1981,sat
2-8-1981,sun
2-9-1981,mon
2-10-1981,tue
2-11-1981,wed
2-12-1981,thu
2-13-1981,fri
2-14-1981,sat
2-15-1981,sun
2-16-1981,mon
2-17-1981,tue
2-18-1981,wed
2-19-1981,thu
2-20-1981,fri
2-21-1981,sat
2-22-1981,sun
2-23-1981,mon
2-24-1981,tue
2-25-1981,wed
2-26-1981,thu
2-27-1981,fri
2-28-1981,sat
3-1-1981,sun
3-2-1981,mon
3-3-1981,tue
3-4-1981,wed
3-5-1981,thu
3-6-1981,fri
3-7-1981,sat
3-8-1981,sun
3-9-1981,mon
3-10-1981,tue
3-11-1981,wed
3-12-1981,thu
3-13-1981,fri
3-14-1981,sat
3-15-1981,sun
3-16-1981,mon
3-17-1981,tue
3-18-1981,wed
3-19-1981,thu
3-20-1981,fri
3-21-1981,sat
3-22-1981,sun
3-23-1981,mon
3-24-1981,tue
3-25-1981,wed
3-26-1981,thu
3-27-1981,fri
3-28-1981,sat
3-29-1981,sun
3-30-1981,mon
3-31-1981,tue
4-1-1981,wed
4-2-1981,thu
4-3-1981,fri
4-4-1981,sat
4-5-1981,sun
4-6-1981,mon
4-7-1981,tue
4-8-1981,wed
4-9-1981,thu
4-10-1981,fri
4-11-1981,sat
4-12-1981,sun
4-13-1981,mon
4-14-1981,tue
4-15-1981,wed
4-16-1981,thu
4-17-1981,fri
4-18-1981,sat
4-19-1981,sun
4-20-1981,mon
4-21-1981,tue
4-22-1981,wed
4-23-1981,thu
4-24-1981,fri
4-25-1981,sat
4-26-1981,sun
4-27-1981,mon
4-28-1981,tue
4-29-1981,wed
4-30-1981,thu
5-1-1981,fri
5-2-1981,sat
5-3-1981,sun
5-4-1981,mon
5-5-1981,tue
5-6-1981,wed
5-7-1981,thu
5-8-1981,fri
5-9-1981,sat
5-10-1981,sun
5-11-1981,mon
5-12-1981,tue
5-13-1981,wed
5-14-1981,thu
5-15-1981,fri
5-16-1981,sat
5-17-1981,sun
5-18-1981,mon
5-19-1981,tue
5-20-1981,wed
5-21-1981,thu
5-22-1981,fri
5-23-1981,sat
5-24-1981,sun
5-25-1981,mon
5-26-1981,tue
5-27-1981,wed
5-28-1981,thu
5-29-1981,fri
5-30-1981,sat
5-31-1981,sun
6-1-1981,mon
6-2-1981,tue
6-3-1981,wed
6-4-1981,thu
6-5-1981,fri
6-6-1981,sat
6-7-1981,sun
6-8-1981,mon
6-9-1981,tue
6-10-1981,wed
6-11-1981,thu
6-12-1981,fri
6-13-1981,sat
6-14-1981,sun
6-15-1981,mon
6-16-1981,tue
6-17-1981,wed
6-18-1981,thu
6-19-1981,fri
6-20-1981,sat
6-21-1981,sun
6-22-1981,mon
6-23-1981,tue
6-24-1981,wed
6-25-1981,thu
6-26-1981,fri
6-27-1981,sat
6-28-1981,sun
6-29-1981,mon
6-30-1981,tue
7-1-1981,wed
7-2-1981,thu
7-3-1981,fri
7-4-1981,sat
7-5-1981,sun
7-6-1981,mon
7-7-1981,tue
7-8-1981,wed
7-9-1981,thu
7-10-1981,fri
7-11-1981,sat
7-12-1981,sun
7-13-1981,mon
7-14-1981,tue
7-15-1981,wed
7-16-1981,thu
7-17-1981,fri
7-18-1981,sat
7-19-1981,sun
7-20-1981,mon
7-21-1981,tue
7-22-1981,wed
7-23-1981,thu
7-24-1981,fri
7-25-1981,sat
7-26-1981,sun
7-27-1981,mon
7-28-1981,tue
7-29-1981,wed
7-30-1981,thu
7-31-1981,fri
8-1-1981,sat
8-2-1981,sun
8-3-1981,mon
8-4-1981,tue
8-5-1981,wed
8-6-1981,thu
8-7-1981,fri
8-8-1981,sat
8-9-1981,sun
8-10-1981,mon
8-11-1981,tue
8-12-1981,wed
8-13-1981,thu
8-14-1981,fri
8-15-1981,sat
8-16-1981,sun
8-17-1981,mon
8-18-1981,tue
8-19-1981,wed
8-20-1981,thu
8-21-1981,fri
8-22-1981,sat
8-23-1981,sun
8-24-1981,mon
8-25-1981,tue
8-26-1981,wed
8-27-1981,thu
8-28-1981,fri
8-29-1981,sat
8-30-1981,sun
8-31-1981,mon
9-1-1981,tue
9-2-1981,wed
9-3-1981,thu
9-4-1981,fri
9-5-1981,sat
9-6-1981,sun
9-7-1981,mon
9-8-1981,tue
9-9-1981,wed
9-10-1981,thu
9-11-1981,fri
9-12-1981,sat
9-13-1981,sun
9-14-1981,mon
9-15-1981,tue
9-16-1981,wed
9-17-1981,thu
9-18-1981,fri
9-19-1981,sat
9-20-1981,sun
9-21-1981,mon
9-22-1981,tue
9-23-1981,wed
9-24-1981,thu
9-25-1981,fri
9-26-1981,sat
9-27-1981,sun
9-28-1981,mon
9-29-1981,tue
9-30-1981,wed
10-1-1981,thu
10-2-1981,fri
10-3-1981,sat
10-4-1981,sun
10-5-1981,mon
10-6-1981,tue
10-7-1981,wed
10-8-1981,thu
10-9-1981,fri
10-10-1981,sat
10-11-1981,sun
10-12-1981,mon
10-13-1981,tue
10-14-1981,wed
10-15-1981,thu
10-16-1981,fri
10-17-1981,sat
10-18-1981,sun
10-19-1981,mon
10-20-1981,tue
10-21-1981,wed
10-22-1981,thu
10-23-1981,fri
10-24-1981,sat
10-25-1981,sun
10-26-1981,mon
10-27-1981,tue
10-28-1981,wed
10-29-1981,thu
10-30-1981,fri
10-31-1981,sat
11-1-1981,sun
11-2-1981,mon
11-3-1981,tue
11-4-1981,wed
11-5-1981,thu
11-6-1981,fri
11-7-1981,sat
11-8-1981,sun
11-9-1981,mon
11-10-1981,tue
11-11-1981,wed
11-12-1981,thu
11-13-1981,fri
11-14-1981,sat
11-15-1981,sun
11-16-1981,mon
11-17-1981,tue
11-18-1981,wed
11-19-1981,thu
11-20-1981,fri
11-21-1981,sat
11-22-1981,sun
11-23-1981,mon
11-24-1981,tue
11-25-1981,wed
11-26-1981,thu
11-27-1981,fri
11-28-1981,sat
11-29-1981,sun
11-30-1981,mon
12-1-1981,tue
12-2-1981,wed
12-3-1981,thu
12-4-1981,fri
12-5-1981,sat
12-6-1981,sun
12-7-1981,mon
12-8-1981,tue
12-9-1981,wed
12-10-1981,thu
12-11-1981,fri
12-12-1981,sat
12-13-1981,sun
12-14-1981,mon
12-15-1981,tue
12-16-1981,wed
12-17-1981,thu
12-18-1981,fri
12-19-1981,sat
12-20-1981,sun
12-21-1981,mon
12-22-1981,tue
12-23-1981,wed
12-24-1981,thu
12-25-1981,fri
12-26-1981,sat
12-27-1981,sun
12-28-1981,mon
12-29-1981,tue
12-30-1981,wed
12-31-1981,thu
1-1-1982,fri
1-2-1982,sat
1-3-1982,sun
1-4-1982,mon
1-5-1982,tue
1-6-1982,wed
1-7-1982,thu
1-8-1982,fri
1-9-1982,sat
1-10-1982,sun
1-11-1982,mon
1-12-1982,tue
1-13-1982,wed
1-14-1982,thu
1-15-1982,fri
1-16-1982,sat
1-17-1982,sun
1-18-1982,mon
1-19-1982,tue
1-20-1982,wed
1-21-1982,thu
1-22-1982,fri
1-23-1982,sat
1-24-1982,sun
1-25-1982,mon
1-26-1982,tue
1-27-1982,wed
1-28-1982,thu
1-29-1982,fri
1-30-1982,sat
1-31-1982,sun
2-1-1982,mon
2-2-1982,tue
2-3-1982,wed
2-4-1982,thu
2-5-1982,fri
2-6-1982,sat
2-7-1982,sun
2-8-1982,mon
2-9-1982,tue
2-10-1982,wed
2-11-1982,thu
2-12-1982,fri
2-13-1982,sat
2-14-1982,sun
2-15-1982,mon
2-16-1982,tue
2-17-1982,wed
2-18-1982,thu
2-19-1982,fri
2-20-1982,sat
2-21-1982,sun
2-22-1982,mon
2-23-1982,tue
2-24-1982,wed
2-25-1982,thu
2-26-1982,fri
2-27-1982,sat
2-28-1982,sun
3-1-1982,mon
3-2-1982,tue
3-3-1982,wed
3-4-1982,thu
3-5-1982,fri
3-6-1982,sat
3-7-1982,sun
3-8-1982,mon
3-9-1982,tue
3-10-1982,wed
3-11-1982,thu
3-12-1982,fri
3-13-1982,sat
3-14-1982,sun
3-15-1982,mon
3-16-1982,tue
3-17-1982,wed
3-18-1982,thu
3-19-1982,fri
3-20-1982,sat
3-21-1982,sun
3-22-1982,mon
3-23-1982,tue
3-24-1982,wed
3-25-1982,thu
3-26-1982,fri
3-27-1982,sat
3-28-1982,sun
3-29-1982,mon
3-30-1982,tue
3-31-1982,wed
4-1-1982,thu
4-2-1982,fri
4-3-1982,sat
4-4-1982,sun
4-5-1982,mon
4-6-1982,tue
4-7-1982,wed
4-8-1982,thu
4-9-1982,fri
4-10-1982,sat
4-11-1982,sun
4-12-1982,mon
4-13-1982,tue
4-14-1982,wed
4-15-1982,thu
4-16-1982,fri
4-17-1982,sat
4-18-1982,sun
4-19-1982,mon
4-20-1982,tue
4-21-1982,wed
4-22-1982,thu
4-23-1982,fri
4-24-1982,sat
4-25-1982,sun
4-26-1982,mon
4-27-1982,tue
4-28-1982,wed
4-29-1982,thu
4-30-1982,fri
5-1-1982,sat
5-2-1982,sun
5-3-1982,mon
5-4-1982,tue
5-5-1982,wed
5-6-1982,thu
5-7-1982,fri
5-8-1982,sat
5-9-1982,sun
5-10-1982,mon
5-11-1982,tue
5-12-1982,wed
5-13-1982,thu
5-14-1982,fri
5-15-1982,sat
5-16-1982,sun
5-17-1982,mon
5-18-1982,tue
5-19-1982,wed
5-20-1982,thu
5-21-1982,fri
5-22-1982,sat
5-23-1982,sun
5-24-1982,mon
5-25-1982,tue
5-26-1982,wed
5-27-1982,thu
5-28-1982,fri
5-29-1982,sat
5-30-1982,sun
5-31-1982,mon
6-1-1982,tue
6-2-1982,wed
6-3-1982,thu
6-4-1982,fri
6-5-1982,sat
6-6-1982,sun
6-7-1982,mon
6-8-1982,tue
6-9-1982,wed
6-10-1982,thu
6-11-1982,fri
6-12-1982,sat
6-13-1982,sun
6-14-1982,mon
6-15-1982,tue
6-16-1982,wed
6-17-1982,thu
6-18-1982,fri
6-19-1982,sat
6-20-1982,sun
6-21-1982,mon
6-22-1982,tue
6-23-1982,wed
6-24-1982,thu
6-25-1982,fri
6-26-1982,sat
6-27-1982,sun
6-28-1982,mon
6-29-1982,tue
6-30-1982,wed
7-1-1982,thu
7-2-1982,fri
7-3-1982,sat
7-4-1982,sun
7-5-1982,mon
7-6-1982,tue
7-7-1982,wed
7-8-1982,thu
7-9-1982,fri
7-10-1982,sat
7-11-1982,sun
7-12-1982,mon
7-13-1982,tue
7-14-1982,wed
7-15-1982,thu
7-16-1982,fri
7-17-1982,sat
7-18-1982,sun
7-19-1982,mon
7-20-1982,tue
7-21-1982,wed
7-22-1982,thu
7-23-1982,fri
7-24-1982,sat
7-25-1982,sun
7-26-1982,mon
7-27-1982,tue
7-28-1982,wed
7-29-1982,thu
7-30-1982,fri
7-31-1982,sat
8-1-1982,sun
8-2-1982,mon
8-3-1982,tue
8-4-1982,wed
8-5-1982,thu
8-6-1982,fri
8-7-1982,sat
8-8-1982,sun
8-9-1982,mon
8-10-1982,tue
8-11-1982,wed
8-12-1982,thu
8-13-1982,fri
8-14-1982,sat
8-15-1982,sun
8-16-1982,mon
8-17-1982,tue
8-18-1982,wed
8-19-1982,thu
8-20-1982,fri
8-21-1982,sat
8-22-1982,sun
8-23-1982,mon
8-24-1982,tue
8-25-1982,wed
8-26-1982,thu
8-27-1982,fri
8-28-1982,sat
8-29-1982,sun
8-30-1982,mon
8-31-1982,tue
9-1-1982,wed
9-2-1982,thu
9-3-1982,fri
9-4-1982,sat
9-5-1982,sun
9-6-1982,mon
9-7-1982,tue
9-8-1982,wed
9-9-1982,thu
9-10-1982,fri
9-11-1982,sat
9-12-1982,sun
9-13-1982,mon
9-14-1982,tue
9-15-1982,wed
9-16-1982,thu
9-17-1982,fri
9-18-1982,sat
9-19-1982,sun
9-20-1982,mon
9-21-1982,tue
9-22-1982,wed
9-23-1982,thu
9-24-1982,fri
9-25-1982,sat
9-26-1982,sun
9-27-1982,mon
9-28-1982,tue
9-29-1982,wed
9-30-1982,thu
10-1-1982,fri
10-2-1982,sat
10-3-1982,sun
10-4-1982,mon
10-5-1982,tue
10-6-1982,wed
10-7-1982,thu
10-8-1982,fri
10-9-1982,sat
10-10-1982,sun
10-11-1982,mon
10-12-1982,tue
10-13-1982,wed
10-14-1982,thu
10-15-1982,fri
10-16-1982,sat
10-17-1982,sun
10-18-1982,mon
10-19-1982,tue
10-20-1982,wed
10-21-1982,thu
10-22-1982,fri
10-23-1982,sat
10-24-1982,sun
10-25-1982,mon
10-26-1982,tue
10-27-1982,wed
10-28-1982,thu
10-29-1982,fri
10-30-1982,sat
10-31-1982,sun
11-1-1982,mon
11-2-1982,tue
11-3-1982,wed
11-4-1982,thu
11-5-1982,fri
11-6-1982,sat
11-7-1982,sun
11-8-1982,mon
11-9-1982,tue
11-10-1982,wed
11-11-1982,thu
11-12-1982,fri
11-13-1982,sat
11-14-1982,sun
11-15-1982,mon
11-16-1982,tue
11-17-1982,wed
11-18-1982,thu
11-19-1982,fri
11-20-1982,sat
11-21-1982,sun
11-22-1982,mon
11-23-1982,tue
11-24-1982,wed
11-25-1982,thu
11-26-1982,fri
11-27-1982,sat
11-28-1982,sun
11-29-1982,mon
11-30-1982,tue
12-1-1982,wed
12-2-1982,thu
12-3-1982,fri
12-4-1982,sat
12-5-1982,sun
12-6-1982,mon
12-7-1982,tue
12-8-1982,wed
12-9-1982,thu
12-10-1982,fri
12-11-1982,sat
12-12-1982,sun
12-13-1982,mon
12-14-1982,tue
12-15-1982,wed
12-16-1982,thu
12-17-1982,fri
12-18-1982,sat
12-19-1982,sun
12-20-1982,mon
12-21-1982,tue
12-22-1982,wed
12-23-1982,thu
12-24-1982,fri
12-25-1982,sat
12-26-1982,sun
12-27-1982,mon
12-28-1982,tue
12-29-1982,wed
12-30-1982,thu
12-31-1982,fri
1-1-1983,sat
1-2-1983,sun
1-3-1983,mon
1-4-1983,tue
1-5-1983,wed
1-6-1983,thu
1-7-1983,fri
1-8-1983,sat
1-9-1983,sun
1-10-1983,mon
1-11-1983,tue
1-12-1983,wed
1-13-1983,thu
1-14-1983,fri
1-15-1983,sat
1-16-1983,sun
1-17-1983,mon
1-18-1983,tue
1-19-1983,wed
1-20-1983,thu
1-21-1983,fri
1-22-1983,sat
1-23-1983,sun
1-24-1983,mon
1-25-1983,tue
1-26-1983,wed
1-27-1983,thu
1-28-1983,fri
1-29-1983,sat
1-30-1983,sun
1-31-1983,mon
2-1-1983,tue
2-2-1983,wed
2-3-1983,thu
2-4-1983,fri
2-5-1983,sat
2-6-1983,sun
2-7-1983,mon
2-8-1983,tue
2-9-1983,wed
2-10-1983,thu
2-11-1983,fri
2-12-1983,sat
2-13-1983,sun
2-14-1983,mon
2-15-1983,tue
2-16-1983,wed
2-17-1983,thu
2-18-1983,fri
2-19-1983,sat
2-20-1983,sun
2-21-1983,mon
2-22-1983,tue
2-23-1983,wed
2-24-1983,thu
2-25-1983,fri
2-26-1983,sat
2-27-1983,sun
2-28-1983,mon
3-1-1983,tue
3-2-1983,wed
3-3-1983,thu
3-4-1983,fri
3-5-1983,sat
3-6-1983,sun
3-7-1983,mon
3-8-1983,tue
3-9-1983,wed
3-10-1983,thu
3-11-1983,fri
3-12-1983,sat
3-13-1983,sun
3-14-1983,mon
3-15-1983,tue
3-16-1983,wed
3-17-1983,thu
3-18-1983,fri
3-19-1983,sat
3-20-1983,sun
3-21-1983,mon
3-22-1983,tue
3-23-1983,wed
3-24-1983,thu
3-25-1983,fri
3-26-1983,sat
3-27-1983,sun
3-28-1983,mon
3-29-1983,tue
3-30-1983,wed
3-31-1983,thu
4-1-1983,fri
4-2-1983,sat
4-3-1983,sun
4-4-1983,mon
4-5-1983,tue
4-6-1983,wed
4-7-1983,thu
4-8-1983,fri
4-9-1983,sat
4-10-1983,sun
4-11-1983,mon
4-12-1983,tue
4-13-1983,wed
4-14-1983,thu
4-15-1983,fri
4-16-1983,sat
4-17-1983,sun
4-18-1983,mon
4-19-1983,tue
4-20-1983,wed
4-21-1983,thu
4-22-1983,fri
4-23-1983,sat
4-24-1983,sun
4-25-1983,mon
4-26-1983,tue
4-27-1983,wed
4-28-1983,thu
4-29-1983,fri
4-30-1983,sat
5-1-1983,sun
5-2-1983,mon
5-3-1983,tue
5-4-1983,wed
5-5-1983,thu
5-6-1983,fri
5-7-1983,sat
5-8-1983,sun
5-9-1983,mon
5-10-1983,tue
5-11-1983,wed
5-12-1983,thu
5-13-1983,fri
5-14-1983,sat
5-15-1983,sun
5-16-1983,mon
5-17-1983,tue
5-18-1983,wed
5-19-1983,thu
5-20-1983,fri
5-21-1983,sat
5-22-1983,sun
5-23-1983,mon
5-24-1983,tue
5-25-1983,wed
5-26-1983,thu
5-27-1983,fri
5-28-1983,sat
5-29-1983,sun
5-30-1983,mon
5-31-1983,tue
6-1-1983,wed
6-2-1983,thu
6-3-1983,fri
6-4-1983,sat
6-5-1983,sun
6-6-1983,mon
6-7-1983,tue
6-8-1983,wed
6-9-1983,thu
6-10-1983,fri
6-11-1983,sat
6-12-1983,sun
6-13-1983,mon
6-14-1983,tue
6-15-1983,wed
6-16-1983,thu
6-17-1983,fri
6-18-1983,sat
6-19-1983,sun
6-20-1983,mon
6-21-1983,tue
6-22-1983,wed
6-23-1983,thu
6-24-1983,fri
6-25-1983,sat
6-26-1983,sun
6-27-1983,mon
6-28-1983,tue
6-29-1983,wed
6-30-1983,thu
7-1-1983,fri
7-2-1983,sat
7-3-1983,sun
7-4-1983,mon
7-5-1983,tue
7-6-1983,wed
7-7-1983,thu
7-8-1983,fri
7-9-1983,sat
7-10-1983,sun
7-11-1983,mon
7-12-1983,tue
7-13-1983,wed
7-14-1983,thu
7-15-1983,fri
7-16-1983,sat
7-17-1983,sun
7-18-1983,mon
7-19-1983,tue
7-20-1983,wed
7-21-1983,thu
7-22-1983,fri
7-23-1983,sat
7-24-1983,sun
7-25-1983,mon
7-26-1983,tue
7-27-1983,wed
7-28-1983,thu
7-29-1983,fri
7-30-1983,sat
7-31-1983,sun
8-1-1983,mon
8-2-1983,tue
8-3-1983,wed
8-4-1983,thu
8-5-1983,fri
8-6-1983,sat
8-7-1983,sun
8-8-1983,mon
8-9-1983,tue
8-10-1983,wed
8-11-1983,thu
8-12-1983,fri
8-13-1983,sat
8-14-1983,sun
8-15-1983,mon
8-16-1983,tue
8-17-1983,wed
8-18-1983,thu
8-19-1983,fri
8-20-1983,sat
8-21-1983,sun
8-22-1983,mon
8-23-1983,tue
8-24-1983,wed
8-25-1983,thu
8-26-1983,fri
8-27-1983,sat
8-28-1983,sun
8-29-1983,mon
8-30-1983,tue
8-31-1983,wed
9-1-1983,thu
9-2-1983,fri
9-3-1983,sat
9-4-1983,sun
9-5-1983,mon
9-6-1983,tue
9-7-1983,wed
9-8-1983,thu
9-9-1983,fri
9-10-1983,sat
9-11-1983,sun
9-12-1983,mon
9-13-1983,tue
9-14-1983,wed
9-15-1983,thu
9-16-1983,fri
9-17-1983,sat
9-18-1983,sun
9-19-1983,mon
9-20-1983,tue
9-21-1983,wed
9-22-1983,thu
9-23-1983,fri
9-24-1983,sat
9-25-1983,sun
9-26-1983,mon
9-27-1983,tue
9-28-1983,wed
9-29-1983,thu
9-30-1983,fri
10-1-1983,sat
10-2-1983,sun
10-3-1983,mon
10-4-1983,tue
10-5-1983,wed
10-6-1983,thu
10-7-1983,fri
10-8-1983,sat
10-9-1983,sun
10-10-1983,mon
10-11-1983,tue
10-12-1983,wed
10-13-1983,thu
10-14-1983,fri
10-15-1983,sat
10-16-1983,sun
10-17-1983,mon
10-18-1983,tue
10-19-1983,wed
10-20-1983,thu
10-21-1983,fri
10-22-1983,sat
10-23-1983,sun
10-24-1983,mon
10-25-1983,tue
10-26-1983,wed
10-27-1983,thu
10-28-1983,fri
10-29-1983,sat
10-30-1983,sun
10-31-1983,mon
11-1-1983,tue
11-2-1983,wed
11-3-1983,thu
11-4-1983,fri
11-5-1983,sat
11-6-1983,sun
11-7-1983,mon
11-8-1983,tue
11-9-1983,wed
11-10-1983,thu
11-11-1983,fri
11-12-1983,sat
11-13-1983,sun
11-14-1983,mon
11-15-1983,tue
11-16-1983,wed
11-17-1983,thu
11-18-1983,fri
11-19-1983,sat
11-20-1983,sun
11-21-1983,mon
11-22-1983,tue
